county_name,median_income,population,bachelors_degree,labor_force,median_rent,commute_time,owner_occupied,renter_occupied,state_fips,county_fips
"Hawaii County, Hawaii",74238.0,202163.0,27870.0,8766.0,1352.0,78233.0,51778.0,20690.0,15,001
"Honolulu County, Hawaii",99816.0,1010100.0,164506.0,43625.0,1976.0,465586.0,196384.0,137316.0,15,003
"Kalawao County, Hawaii",87813.0,50.0,10.0,0.0,1297.0,31.0,0.0,32.0,15,005
"Kauai County, Hawaii",88869.0,73511.0,11228.0,3143.0,1686.0,31098.0,14896.0,8082.0,15,007
"Maui County, Hawaii",95379.0,164765.0,23629.0,6931.0,1805.0,73179.0,35758.0,18970.0,15,009
"Ada County, Idaho",83881.0,497494.0,94823.0,26688.0,1320.0,215017.0,136018.0,54623.0,16,001
"Adams County, Idaho",55891.0,4464.0,436.0,137.0,763.0,1393.0,1414.0,273.0,16,003
"Bannock County, Idaho",60998.0,87434.0,10949.0,5424.0,823.0,35340.0,22320.0,10384.0,16,005
"Bear Lake County, Idaho",63244.0,6436.0,604.0,398.0,636.0,2392.0,1873.0,450.0,16,007
"Benewah County, Idaho",54191.0,9731.0,883.0,543.0,812.0,3466.0,2818.0,1008.0,16,009
"Bingham County, Idaho",69433.0,48253.0,4176.0,3139.0,787.0,19966.0,12512.0,3115.0,16,011
"Blaine County, Idaho",81794.0,24248.0,5439.0,1218.0,1238.0,11483.0,6981.0,2317.0,16,013
"Boise County, Idaho",70776.0,7809.0,1079.0,402.0,837.0,2833.0,2922.0,474.0,16,015
"Bonner County, Idaho",61816.0,47976.0,6500.0,1960.0,995.0,17487.0,15044.0,4184.0,16,017
"Bonneville County, Idaho",73103.0,124490.0,16371.0,7099.0,971.0,50235.0,30105.0,12297.0,16,019
"Boundary County, Idaho",58810.0,12335.0,952.0,612.0,802.0,4495.0,3651.0,1059.0,16,021
"Butte County, Idaho",37358.0,2605.0,232.0,151.0,573.0,878.0,808.0,216.0,16,023
"Camas County, Idaho",63750.0,1133.0,136.0,94.0,950.0,406.0,246.0,77.0,16,025
"Canyon County, Idaho",68473.0,235006.0,22406.0,13977.0,1138.0,96148.0,59609.0,20119.0,16,027
